mean_reward,accuracy,learning_gain,mean_engagement,mean_resp_time,episodes,method,seed
0.6787468687534525,0.5285,0.2901757107949392,0.46896335227510927,1.3816997796312398,100,ppo,0
0.9303746165110677,0.4665,0.4396385221437039,0.861932832179071,1.15068920685468,100,heuristic,2
0.9822707396672911,0.539,0.7196385221437042,0.8786540678379186,1.164366315343997,100,static,2
0.7681863916974433,0.5215,0.579638522143704,0.6082167441023789,1.3110133515540985,100,staircase,2
0.699537221059926,0.5395,0.4067330527170475,0.48944409157726726,1.3746999868325507,100,ppo,2
0.9264910824895142,0.465,0.4009186159777567,0.8574886504325705,1.1527533912551322,100,heuristic,0
0.6869171161669041,0.5395,0.6496385221437043,0.48133096024010913,1.384690380817147,100,random,2
0.6893924225021194,0.5425,0.5409186159777568,0.47460281958751305,1.3845421062141439,100,random,0
0.6731204757915792,0.5465,0.6935483867000547,0.45783563219545353,1.3997444540818946,100,random,1
0.678842736595052,0.54,0.8409027068953863,0.46969130042548873,1.3906005379624145,100,ppo,1
0.7885727404578949,0.5285,0.6235483867000549,0.6201739688437679,1.300669796469054,100,staircase,1
0.9070425891571607,0.456,0.41354838670005445,0.8334414508697124,1.160593991618079,100,heuristic,1
0.775450011234944,0.5195,0.4009186159777567,0.6194825006623753,1.303307153516069,100,staircase,0
0.9610801695705048,0.5635,0.7035145569496524,0.8375834974443332,1.1971089740709664,100,static,1
0.9727956302895119,0.537,0.47091861597775697,0.87195730036834,1.1688647841776156,100,static,0
